1,wwpCNgYxhOYbU,8949,AAAAAAAAAA
2,LnMJt,288,AAAAAAAAAB
3,jNbzLeZIuQU,1,AAAAAAAAAC
4,FMohqqKkqRFy,4,AAAAAAAAAD
5,MB,25,AAAAAAAAAE
6,FPhgOEzgkVsCM,1,AAAAAAAAAF
7,xwYlN,94,AAAAAAAAAG
8,NNGnXnTPokpFVF,6,AAAAAAAAAH
9,Usdk,80,AAAAAAAAAI
10,hyfMYgFAsCY,642,AAAAAAAAAJ
11,VeYdX,5492,AAAAAAAAAK
12,IxJBJvcXyBy,3,AAAAAAAAAL
13,zElvuthF,81,AAAAAAAAAM
14,yEsGsnlV,3283,AAAAAAAAAN
15,p,6157,AAAAAAAAAO
16,cnYthEThpk,36,AAAAAAAAAP
17,dGjiIznFaf,3,AAAAAAAAAQ
18,FSE,0,AAAAAAAAAR
19,sPwJNp,4,AAAAAAAAAS
20,wZgWcUNcBUqKu,258,AAAAAAAAAT
21,eGiAovVspn,7391,AAAAAAAAAU
22,pcWbHCtoaVrM,662,AAAAAAAAAV
23,RyiYdpYbtMGWyh,0251,AAAAAAAAAW
24,MZGQcNXrXdum,488,AAAAAAAAAX
25,DReIKe,701,AAAAAAAAAY
26,FjEfLirQt,8,AAAAAAAAAZ
27,xNqednlmg,1,AAAAAAAAAa
28,QvVwTnoztZvJGvT,5700,AAAAAAAAAb
29,rREzMRQYONJSqr,390,AAAAAAAAAc
30,CuWkaxhwYbq,54,AAAAAAAAAd
31,BhDopEnYOUkMSu,55,AAAAAAAAAe
32,khLazW,88,AAAAAAAAAf
33,ZfvzkzoV,33,AAAAAAAAAg
34,XrNlFMVTFT,4085,AAAAAAAAAh
35,qDi,7181,AAAAAAAAAi
36,UbTPywITuJ,20,AAAAAAAAAj
37,AGeWgmHXYCrxW,43,AAAAAAAAAk
38,yiHpFQExn,1313,AAAAAAAAAl
39,AHXrckgh,14,AAAAAAAAAm
40,udjctpc,2,AAAAAAAAAn
41,ZLnWVItKMA,302,AAAAAAAAAo
42,EecAJHcvfeJ,97,AAAAAAAAAp
43,VlQbNN,0470,AAAAAAAAAq
44,fX,2438,AAAAAAAAAr
45,SJUtZYMErbGDd,0,AAAAAAAAAs
46,cbr,2485,AAAAAAAAAt
47,amEsvePzSfDM,644,AAAAAAAAAu
48,cTzWef,97,AAAAAAAAAv
49,mwCZmBnss,9,AAAAAAAAAw
50,GRFVxf,74,AAAAAAAAAx
51,pUCvhmYOc,2754,AAAAAAAAAy
52,xdQwNwWR,9,AAAAAAAAAz
53,vWEwomWDITCM,1102,AAAAAAAABA
54,yfeBCzlucbdIP,513,AAAAAAAABB
55,L,1,AAAAAAAABC
56,BRdsDHSWrpA,1246,AAAAAAAABD
57,UUntoCGtKLB,607,AAAAAAAABE
58,bfudnunvVkfSvY,9,AAAAAAAABF
59,dsnxgnSjNAKwBHg,16,AAAAAAAABG
60,eDXecwdgxbEMHp,4474,AAAAAAAABH
61,qQQc,5748,AAAAAAAABI
62,B,7,AAAAAAAABJ
63,VUMnf,2,AAAAAAAABK
64,PVgPSn,4,AAAAAAAABL
65,caIpGpypv,5,AAAAAAAABM
66,wov,2,AAAAAAAABN
67,WUSXZdz,00,AAAAAAAABO
68,hDVFZOjcc,72,AAAAAAAABP
69,Gl,0743,AAAAAAAABQ
70,IRZCdggCvuqBd,4,AAAAAAAABR
71,WDuJTXPb,15,AAAAAAAABS
72,rgeyCpWODGO,3,AAAAAAAABT
73,BqRftNfAfZnIW,653,AAAAAAAABU
74,x,9,AAAAAAAABV
75,bsMH,143,AAAAAAAABW
76,DLko,9156,AAAAAAAABX
77,kzbE,93,AAAAAAAABY
78,JHaTtfWAQkRSZ,1667,AAAAAAAABZ
79,WSsFwtgYEYstLNC,3112,AAAAAAAABa
80,SMqUYPx,3,AAAAAAAABb
81,YNfxaco,7,AAAAAAAABc
82,WLc,1655,AAAAAAAABd
83,SpicVrKNPQOMgBA,8,AAAAAAAABe
84,gycDNiVZUYHvt,5,AAAAAAAABf
85,HXdU,625,AAAAAAAABg
86,cLmxH,7689,AAAAAAAABh
87,LBVcarFfA,0,AAAAAAAABi
88,lqWJXkRTyGtFnm,895,AAAAAAAABj
89,OIrMas,279,AAAAAAAABk
90,wDih,7204,AAAAAAAABl
91,oqyYSvPqyPXXO,197,AAAAAAAABm
92,Y,6,AAAAAAAABn
93,hdU,2,AAAAAAAABo
94,xoIwAnZ,6331,AAAAAAAABp
95,j,90,AAAAAAAABq
96,tsKkhtXP,827,AAAAAAAABr
97,ZgpONzasczkE,0500,AAAAAAAABs
98,d,005,AAAAAAAABt
99,kWPkT,0892,AAAAAAAABu
100,FiRWOJK,3183,AAAAAAAABv
101,kmXXvHZBN,953,AAAAAAAABw
102,WBNHTUXenuzJ,563,AAAAAAAABx
103,tJJ,365,AAAAAAAABy
104,UleGiidkCYz,9,AAAAAAAABz
105,JvJyigF,48,AAAAAAAACA
106,vS,5714,AAAAAAAACB
107,w,4067,AAAAAAAACC
