eid,biome,eSize,zoneName
1,zeYUiat,8,AAAAAAAAAA
2,tGaUbeokEXFZb,3441,AAAAAAAAAB
3,xgTORkDBesK,2116,AAAAAAAAAC
4,camQjoOu,0025,AAAAAAAAAD
5,TXHTntGjmUCyylG,2016,AAAAAAAAAE
6,IotryxbuA,488,AAAAAAAAAF
7,cUqAewkQR,7,AAAAAAAAAG
8,WxFshkuFPrOHFbF,2507,AAAAAAAAAH
9,zrcXnpSDhOkY,5,AAAAAAAAAI
10,YA,0,AAAAAAAAAJ
11,vxyHpf,7,AAAAAAAAAK
12,dsTJNxCEWMnwd,970,AAAAAAAAAL
13,yNfL,6338,AAAAAAAAAM
14,glRRPR,28,AAAAAAAAAN
15,LDypRDVDF,588,AAAAAAAAAO
16,qx,945,AAAAAAAAAP
17,ktsKQKJPivi,4667,AAAAAAAAAQ
18,MNAzZTKqUmUepmR,07,AAAAAAAAAR
19,SpEANEm,18,AAAAAAAAAS
20,WgAyC,6,AAAAAAAAAT
21,PiYPFMdYWHj,7,AAAAAAAAAU
22,MRafxXVerT,14,AAAAAAAAAV
23,vrpPvKnOTosT,537,AAAAAAAAAW
24,xMdyLHyiuLrdlmq,002,AAAAAAAAAX
25,YRhYNaQwBH,886,AAAAAAAAAY
26,fPiGp,7036,AAAAAAAAAZ
27,liEqOvWODSgQTC,31,AAAAAAAAAa
28,mMFK,1328,AAAAAAAAAb
29,VumXKUuoSimJ,9,AAAAAAAAAc
30,RshyjxNvRWC,293,AAAAAAAAAd
31,kQrUwShfwLwWzcV,1044,AAAAAAAAAe
32,NNwhokPPomYKH,6,AAAAAAAAAf
33,LyG,88,AAAAAAAAAg
34,MrWDBuIgCxfO,60,AAAAAAAAAh
35,UAZ,039,AAAAAAAAAi
36,cHZbrjgCcysQQDg,3754,AAAAAAAAAj
37,mZULWvLIHjC,1,AAAAAAAAAk
38,Xed,3416,AAAAAAAAAl
39,eCNIkWEr,4355,AAAAAAAAAm
40,eZ,6,AAAAAAAAAn
41,Y,16,AAAAAAAAAo
42,PxCVkcn,852,AAAAAAAAAp
43,imcijWjRr,50,AAAAAAAAAq
44,FuykfNeT,0388,AAAAAAAAAr
45,kM,4,AAAAAAAAAs
46,lPKddSZoUxeZ,84,AAAAAAAAAt
47,gkoNMmaT,757,AAAAAAAAAu
48,i,6,AAAAAAAAAv
49,kgRAQwmuDEL,7632,AAAAAAAAAw
50,frAjVi,55,AAAAAAAAAx
51,gTplpJExTGIWIn,067,AAAAAAAAAy
52,btPoaLBIVtC,901,AAAAAAAAAz
53,kLiAGiWK,1,AAAAAAAABA
54,cz,4822,AAAAAAAABB
55,odMEHKEjwAYcgxo,6,AAAAAAAABC
56,l,24,AAAAAAAABD
57,xYtYyttdfY,4457,AAAAAAAABE
58,fqwNHYUWRocZB,0837,AAAAAAAABF
59,zxpuiaKxQIaG,906,AAAAAAAABG
60,HZULvAeIhuG,14,AAAAAAAABH
61,KAMIoTwuzJ,395,AAAAAAAABI
62,H,9334,AAAAAAAABJ
63,MUlMedB,68,AAAAAAAABK
64,OptxbtCxSnBdtg,07,AAAAAAAABL
65,fYTSHxlorM,929,AAAAAAAABM
66,tqbBAYpAjemFu,32,AAAAAAAABN
67,iNl,02,AAAAAAAABO
68,noMOj,1092,AAAAAAAABP
69,obZ,9982,AAAAAAAABQ
70,kyUpaS,243,AAAAAAAABR
71,gowVqSUxT,32,AAAAAAAABS
72,hUQueXFHu,50,AAAAAAAABT
73,wZCBtUtmzKEU,5,AAAAAAAABU
74,swcy,8125,AAAAAAAABV
75,eJEvdgGgBVvR,7,AAAAAAAABW
76,MFjc,9948,AAAAAAAABX
77,dVm,77,AAAAAAAABY
78,WeiSEQXGUAx,1,AAAAAAAABZ
79,cpELN,59,AAAAAAAABa
80,xIFYsIohhVWNl,2006,AAAAAAAABb
81,VPNkv,829,AAAAAAAABc
82,dNVdJMG,364,AAAAAAAABd
83,PRLcRluILqK,02,AAAAAAAABe
84,jAznaQxmpHkKsl,102,AAAAAAAABf
85,hSmq,4,AAAAAAAABg
86,lEK,138,AAAAAAAABh
87,KyFokatzn,96,AAAAAAAABi
88,zPzZnzDxDdI,308,AAAAAAAABj
89,RAAXsSmXxWy,11,AAAAAAAABk
90,krwp,0,AAAAAAAABl
91,LpahHgrXtIec,0487,AAAAAAAABm
92,yu,2723,AAAAAAAABn
93,iyuJUU,3,AAAAAAAABo
94,GZ,28,AAAAAAAABp
95,OkKjrWLNMqdH,470,AAAAAAAABq
96,dZiFKT,44,AAAAAAAABr
97,rEaWMX,50,AAAAAAAABs
98,yIT,8364,AAAAAAAABt
99,EUkbZJrxiOwjX,4138,AAAAAAAABu
100,emlRI,9,AAAAAAAABv
101,BZcOjFqDJiesLZr,50,AAAAAAAABw
102,YB,7,AAAAAAAABx
103,hlvLvRykYhrCpdS,9,AAAAAAAABy
104,CJtCfH,785,AAAAAAAABz
105,uduaHqbh,15,AAAAAAAACA
106,osga,4,AAAAAAAACB
107,omJ,27,AAAAAAAACC
108,VVOlxMc,40,AAAAAAAACD
109,OPB,846,AAAAAAAACE
110,OoqdI,20,AAAAAAAACF
111,vyIFNsXGWHJjt,75,AAAAAAAACG
112,LM,2372,AAAAAAAACH
113,GAvkMeDJh,9,AAAAAAAACI
114,EyLzTflCBxQ,53,AAAAAAAACJ
115,mmidzE,6307,AAAAAAAACK
116,yYjEGgK,6,AAAAAAAACL
117,BPZcLiVOIlxG,8571,AAAAAAAACM
118,c,2620,AAAAAAAACN
119,RDQNM,8278,AAAAAAAACO
