name,colour,hexCode
AAAAAAAAAA,WklgwGYuGunKmF,D7B84F
AAAAAAAAAB,DPKvxIYw,9D3B28
AAAAAAAAAC,dSvwqxp,AE251B
AAAAAAAAAD,MV,3B8D75
AAAAAAAAAE,uCCKkLLM,DB5A8B
AAAAAAAAAF,CXHMSvW,981067
AAAAAAAAAG,EMmT,607197
AAAAAAAAAH,LRyjmRwttB,329093
AAAAAAAAAI,i,918276
AAAAAAAAAJ,vzCPYiOOregih,E68E5F
AAAAAAAAAK,NmM,3B5004
AAAAAAAAAL,dOaiJrvNUxNyZeX,135C99
AAAAAAAAAM,XsmE,770187
AAAAAAAAAN,DZNE,0FA0B9
AAAAAAAAAO,XuYNGMGB,24FF7F
AAAAAAAAAP,qvKHIL,93A7E0
AAAAAAAAAQ,S,609F48
AAAAAAAAAR,WlAtgpgOzqFH,1421D7
AAAAAAAAAS,yTQ,DE9BD4
AAAAAAAAAT,i,B31312
AAAAAAAAAU,gQohwB,E073F1
AAAAAAAAAV,rpUtWSHrnme,20210F
AAAAAAAAAW,mAHr,97AB86
AAAAAAAAAX,XJJWcEeRUXhCsVY,14B09A
AAAAAAAAAY,ajGxMYWU,49D642
AAAAAAAAAZ,MauXxbhmVmZUF,48AE75
AAAAAAAAAa,HEf,F5CA3B
AAAAAAAAAb,RqzRAvAMQ,010A1E
AAAAAAAAAc,bxpOBeZErnBUcrX,C5F06E
AAAAAAAAAd,lJnOBOpmnAkiowb,17381F
AAAAAAAAAe,wjTnp,99A703
AAAAAAAAAf,PQaQvRjfHlhOxo,9BDF70
AAAAAAAAAg,a,D14561
AAAAAAAAAh,phjKzjSQSiyrxQv,8BDE16
AAAAAAAAAi,kTphievhXqmoIOX,5C8914
AAAAAAAAAj,EYsMQDiQQIkxY,B33F26
AAAAAAAAAk,dhwKzLo,21B05D
AAAAAAAAAl,DJABjUmZDky,520171
AAAAAAAAAm,bEcm,315DA5
AAAAAAAAAn,VfITVH,E0CF3D
AAAAAAAAAo,IjzLkYsjrlonIIb,36CA05
AAAAAAAAAp,VqgroNJsPYV,7172F4
AAAAAAAAAq,ajYLUwjcqHbfHNX,CBD017
AAAAAAAAAr,ltSbunjIqUbkLc,06B35D
AAAAAAAAAs,ycYLB,7F29F2
AAAAAAAAAt,rHSQoGVen,73519C
AAAAAAAAAu,hX,015510
AAAAAAAAAv,SiLGaiDle,6DE376
AAAAAAAAAw,dzqaWwBTo,D48137
AAAAAAAAAx,tbHSPLfcurhPp,989D09
AAAAAAAAAy,CVmQblIpC,B1C07D
AAAAAAAAAz,DpyI,D67E44
AAAAAAAABA,CthDETiTXPZ,9ECA07
AAAAAAAABB,wyuaOTEzjkbE,C2CAA4
AAAAAAAABC,Z,398C38
AAAAAAAABD,icCKOVjpUiKVln,263A38
AAAAAAAABE,bUL,07EFE4
AAAAAAAABF,bnrOwLlzaxXwm,E3820F
AAAAAAAABG,jkxiZwI,5959BB
AAAAAAAABH,cXdbdkBRsAx,17BC0C
AAAAAAAABI,iQRvDprAHTxTOf,AD5BCB
AAAAAAAABJ,NmuMwLgAO,3CC546
AAAAAAAABK,QbLgHj,972935
AAAAAAAABL,qMefTyrFanOlsr,94B7E2
AAAAAAAABM,eHZcamvy,FEED10
AAAAAAAABN,LZTw,DEEF08
AAAAAAAABO,xAjZnjRZosfRmh,D6820E
AAAAAAAABP,dmQzUZiluMtcn,C6AC69
AAAAAAAABQ,TYmMR,B96122
AAAAAAAABR,BVyqCtgowPff,EC6D9F
AAAAAAAABS,GlLofO,20C351
AAAAAAAABT,zTA,B16081
AAAAAAAABU,gTod,98CE85
AAAAAAAABV,SfcQ,8873B9
AAAAAAAABW,wb,0074A8
AAAAAAAABX,w,F77641
AAAAAAAABY,Zk,0EEE8F
