staffID,animalID,dateTime,care,notes
1,1,10-11-2023 4:52:11,desex,thaHoocc
2,2,26-9-1965 43:48:3,surgery,rAuXZDdJFYxSL
3,3,25-9-2012 7:29:15,amputation,OxrNdvBqNlLyqXB
4,4,13-11-1992 14:9:5,euthenisation,FrijrrVEZkxGzmag
5,5,17-4-1960 36:42:5,belly rub,dHFgaywkSTt
6,6,21-10-1951 2:15:19,brush,lQjUvTcszqDT
7,7,27-12-1997 27:58:0,shower,VZtr
8,8,11-5-2006 43:42:9,play,h
9,9,27-8-1935 56:46:5,bottle feed,WmSaUK
10,10,25-6-1991 9:30:22,heart translant,bEIrAjZIhnRwinUeFrD
1,11,3-10-1992 27:29:3,liver transplant,hXzzlXZeihdIkjFxtNic
2,12,23-1-1998 29:49:14,eye transplant,cNsKISgvXTOpuKz
3,13,8-10-1938 6:28:6,therapy,AeoUKLwAw
4,14,21-4-2012 0:7:2,alien abduction,lVLuwgRwK
5,15,24-9-1931 44:52:6,government study,gbGRslw
6,16,11-2-1997 1:22:17,university study,tve
7,17,23-4-2020 31:10:10,stiches,yLnFy
8,18,20-11-1969 1:33:21,heat stroke,qUDqohjuAAKMahPp
9,19,14-12-2011 31:10:11,regular checkup,KqbldJvTAkwvBeAbLvfx
10,20,27-11-1928 31:50:21,desex,TwbaE
1,21,20-3-1964 36:41:14,surgery,WZPuQxPxCIs
2,22,9-9-2010 45:28:19,amputation,XLMXg
3,23,6-3-1935 16:58:18,euthenisation,thoBtsBgKDUCWLiSM
4,24,8-12-1961 39:53:14,belly rub,SzdEWa
5,25,20-4-2022 5:47:14,brush,naVgiUhRQ
6,26,1-1-1936 56:10:18,shower,XLNptpRnCEZvVkK
7,27,8-9-1945 13:29:7,play,hxcQv
8,28,10-1-1935 34:46:3,bottle feed,DNydtIWEWDSbSqBe
9,29,23-1-1947 7:45:14,heart translant,CjLjuL
10,30,22-3-2006 15:49:11,liver transplant,bHeMTxDEeOYJvGKMfJQU
1,1,14-2-1977 37:30:6,eye transplant,tO
2,2,19-8-1934 5:21:9,therapy,jYFXhdHM
3,3,21-3-1937 5:1:0,alien abduction,xEzYArxKALDPNpD
4,4,18-6-1947 48:44:0,government study,dArSuDEkxhiUM
5,5,3-8-1951 14:39:13,university study,pfFfshLQjuyYclX
6,6,21-1-1929 30:16:7,stiches,xOIqnihboHoqCFwxoOz
7,7,15-8-2019 28:56:7,heat stroke,QubsqyOBRSSNfha
8,8,16-4-2005 24:49:15,regular checkup,lXdCttgTwY
9,9,4-3-1961 49:14:15,desex,ZVrgBXnahrKbY
10,10,10-6-1966 55:0:19,surgery,YUIRTFTTvkvXmAE
1,11,20-11-2017 39:57:2,amputation,EPWzVgfJM
2,12,13-11-1990 10:26:6,euthenisation,eEq
3,13,27-1-1928 41:0:3,belly rub,eEn
4,14,15-9-1990 9:16:19,brush,FDScNoAVYYRdK
5,15,6-11-2023 20:10:1,shower,oNsCeydLGebLhNIk
6,16,4-11-2015 2:52:14,play,LMdOPC
7,17,14-11-1966 0:35:11,bottle feed,skcyGtZaFrpSKOfX
8,18,2-10-1926 47:3:11,heart translant,hlmpwWGE
9,19,10-1-2021 50:2:17,liver transplant,egKEeGJoJ
10,20,21-12-1933 9:43:12,eye transplant,twfwNiLkWS
