aid,sex,feedingInterval,name,weight,originCountry,dob,enclosureID,speciesName
1,F,20,drVf,90481343.4,LKA,2002-2-4,1,AAAA
2,M,18,LFz,3.86,ABW,1955-3-8,2,AAAB
3,F,03,FrwI,9937.5,CHE,2000-8-22,3,AAAC
4,F,08,YCd,24785399.87,GBR,1971-12-14,4,AAAD
5,M,01,Ld,711.73,BHS,1953-9-11,5,AAAE
6,M,07,JNK,49.72,SLV,1942-6-1,6,AAAF
7,F,18,h,9809.82,WSM,1940-12-1,7,AAAG
8,F,08,zvMmVy,31.4,LKA,1993-10-20,8,AAAH
9,F,09,UHRgo,1525940.2,BHS,1946-3-23,9,AAAI
10,M,19,SCvGCnZ,5547.7,BHS,1993-3-16,10,AAAJ
11,M,19,Ap,405515.9,SWZ,1992-4-18,11,AAAK
12,F,22,CH,271.52,UMI,1960-3-22,12,AAAL
13,F,21,uGoRnE,105.7,MCO,1936-11-17,13,AAAM
14,M,19,qUU,8003.66,AIA,1960-2-5,14,AAAN
15,F,20,Is,9824190.19,COK,1964-5-22,15,AAAO
16,M,17,iOLoSV,71.5,FRA,1942-1-19,16,AAAP
17,F,23,RlxMkk,56.82,CHN,1994-12-23,17,AAAQ
18,F,02,xK,348.9,BDI,1953-8-7,18,AAAR
19,M,18,sxAfuGi,153.8,LSO,1963-1-4,19,AAAS
20,F,07,R,76595.93,PHL,1986-1-23,20,AAAT
21,F,17,mrTVyIG,6767600.3,PYF,2021-10-13,21,AAAU
22,F,23,xZWbNlP,598.8,DMA,2004-12-28,22,AAAV
23,F,08,jQ,939605.32,TKL,2004-3-2,23,AAAW
24,F,14,E,5882.14,MHL,1965-8-27,24,AAAX
25,F,23,DiIDDl,3810.5,SLE,2001-8-27,25,AAAY
26,F,06,fKX,85635315.58,VIR,1936-10-27,26,AAAZ
27,M,08,nCvgf,24727.20,CYP,1959-10-28,27,AAAa
28,M,08,bkcxzDNM,7819327.77,KAZ,1992-12-6,28,AAAb
29,F,10,mo,112355.3,VCT,1974-4-12,29,AAAc
30,M,03,uKbqpcFG,668150.39,MCO,2001-9-8,30,AAAd
31,F,11,zV,59316.27,TKM,1969-7-10,31,AAAe
32,M,18,EhqYb,1713738.2,GMB,1988-7-22,32,AAAf
33,M,08,n,5743922.38,MHL,1933-7-17,33,AAAg
34,F,20,g,588381.37,SLB,1975-5-6,34,AAAh
35,F,18,GlgYUI,37.2,MHL,2014-8-23,35,AAAi
36,F,11,pIY,2.28,PCN,1945-2-26,36,AAAj
37,M,14,ClrOUvT,90.80,TCA,1978-5-12,37,AAAk
38,M,17,qEGk,912347.9,BIH,1979-11-27,38,AAAl
39,M,23,EjLjerh,348897.59,AUS,2017-4-16,39,AAAm
40,M,06,vuKkBMRa,40.4,FRA,1968-6-22,40,AAAn
41,F,14,YtWF,850138.42,SYR,1985-12-28,41,AAAo
42,M,05,WUYHN,4.1,ISR,1966-11-2,42,AAAp
43,M,05,tcxJscz,97350.90,SYC,2003-3-6,43,AAAq
44,M,09,rvU,4548993.8,TKL,2024-2-12,44,AAAr
45,F,03,sQfb,538723.64,SGP,1983-5-6,45,AAAs
46,M,08,Hu,29055.8,HND,2014-6-20,46,AAAt
47,M,15,mPgVbtw,84.8,MDV,1993-2-10,47,AAAu
48,M,21,TEBtnWaT,5.7,URY,1956-5-4,48,AAAv
49,F,22,DA,641440.85,CUB,1951-5-8,49,AAAw
50,M,06,JnqPKF,76.4,SXM,1991-9-3,50,AAAx
51,M,09,yqSTLJ,7.5,ATA,2013-1-10,51,AAAy
52,F,15,M,150995.39,SLB,1984-4-19,52,AAAz
53,F,23,iBwu,99166789.5,TCD,1939-12-3,53,AABA
54,M,01,vtz,564050.66,TUN,1995-9-27,54,AABB
55,M,02,vHvEmM,8982.30,HND,1945-1-26,55,AABC
56,M,05,SRLdSKRe,968837.63,FJI,2017-7-27,56,AABD
57,F,04,CWU,6.2,JEY,1932-7-25,57,AABE
58,F,21,Ahbf,98083.22,DEU,1992-4-10,58,AABF
59,F,01,AmtpqXFa,829.11,FRA,1925-9-17,59,AABG
60,F,17,Cn,182270.8,SYC,1987-9-5,60,AABH
61,M,01,LPk,199.37,NLD,1980-2-9,61,AABI
62,M,02,mUScal,705449.8,SOM,1989-2-8,62,AABJ
63,F,08,BaIDQ,707918.6,SSD,1944-2-11,63,AABK
64,F,07,AtNIt,6217637.75,KWT,2017-7-25,64,AABL
65,M,18,gZKiKRXt,1500.2,LSO,2003-3-23,65,AABM
66,F,18,mhb,8548.2,MMR,1950-3-14,66,AABN
