latinName,commonName,requiredBiome,speciesGroup
AAAA,FNSarogBlwpZ,MeIVg,AAA
AAAB,GbGjIri,wZROXmKhEcR,AAB
AAAC,QtVTngoQyua,cooNKYS,AAC
AAAD,YZbonMC,pWspM,AAD
AAAE,PJKUP,WWPGNIUgxTLMMoy,AAE
AAAF,inbj,cfPFGyjHeeRqeA,AAF
AAAG,BCXSXvAVPFfeOKcP,yRN,AAG
AAAH,YCUuyOEGfGTHXCDQFrtJME,COba,AAH
AAAI,tbrVtJvGcdANiMpKiLyFg,a,AAI
AAAJ,rynhwazPXyzmckcDrxHIZbtNpYcem,pUvr,AAJ
AAAK,oMbKMBapMkGimPfxULwgUz,eZIKNq,AAK
AAAL,knpzkbWaVuJSsk,nmjjRDGZb,AAL
AAAM,xqJFgZoqJRHaeSJkFuxBb,lbDvAFbrYvuJHtS,AAM
AAAN,ZdCeECPrwEaxEUOWif,CYQuKJFoLsma,AAN
AAAO,sVSoEXTTAqHhXRovYCbrIW,hCmLgGaGA,AAO
AAAP,baAgoaAV,fJERuobdoHyNX,AAP
AAAQ,nxRzFW,PAHFvOVG,AAQ
AAAR,VZK,yotiQqmMNEjFV,AAR
AAAS,AkqjrQIBayHqGRmlWtmWDEDbS,qU,AAS
AAAT,OnpHqDttlKogfrvarOiLVkDSHMtoM,m,AAT
AAAU,XCnfVJSAzTqkFhHFnIRDjWi,nxO,AAU
AAAV,IRBsJkzsfGxekqJsf,AsQXlCaNGCiIV,AAV
AAAW,KeyA,mgkospyzyKjV,AAW
AAAX,ravnZxjox,tFj,AAX
AAAY,nPJcGYs,GQBgV,AAY
AAAZ,dTkPYXPBsrYbzSWnIcAc,Wrb,AAZ
AAAa,fTgwkNJXMCHITEAWQOUHyeM,gGlP,AAa
AAAb,vJjKvzsgEDIHhmv,FCq,AAb
AAAc,eriKDkgoBARTmghNMgeZKHafOQr,UCzxweEY,AAc
AAAd,ndwLTyVQRqkeGhgspB,xF,AAd
AAAe,QxkPXHgJMeWWJoJcayDxNvqTIudg,VDPM,AAe
AAAf,yqNvHAvdvmREvelIBUhI,XigXfvJbLIi,AAf
AAAg,TqKiSFOxpnqgznMtkxSnkateXvh,b,AAg
AAAh,owQLJHLygWEoQqA,IPFNKYcWneZ,AAh
AAAi,glRAFbHJToplldhXqKsi,PGNpjDyzw,AAi
AAAj,OvvSCuGmQbLczIzZbDujTiLYrfkK,GraIceJATWhteO,AAj
AAAk,yibEv,QRJ,AAk
AAAl,tOQLQbCHglUy,vwHecyX,AAl
AAAm,pTV,qYLemTRjSFzdVy,AAm
AAAn,kORZU,ocGuAKzw,AAn
AAAo,lUYUGYoakIESM,reTn,AAo
